asin,predicted_tags
B0789Q79V7,"['board', 'kid-friendly', 'strategic']"
B0D2JK8QFL,"['board', 'kid-friendly', 'resource-management']"
B0DN37BBGD,"['board', 'kid-friendly', 'resource-management']"
B0B5HLZ8T4,"['board', 'kid-friendly', 'resource-management']"
B0CS7VH7HM,"['board', 'kid-friendly', 'resource-management']"
B0CS7D2L4X,"['board', 'resource-management', 'strategic']"
B06XYLL66Y,"['board', 'kid-friendly', 'resource-management']"
B09D44P9HK,"['board', 'kid-friendly', 'resource-management']"
B0DB6GQ3W2,"['board', 'kid-friendly', 'resource-management']"
B0C5S343NP,"['board', 'resource-management', 'strategic']"
B000ITBYU8,"['board', 'kid-friendly', 'resource-management']"
B0CST87Z4J,"['board', 'kid-friendly', 'resource-management']"
1950568555,"['board', 'cardgame', 'rpg']"
1950568539,"['board', 'cardgame', 'rpg']"
B0D324NSNH,"['cardgame', 'cute', 'kid-friendly']"
B010XBCPSK,"['board', 'cardgame', 'strategic']"
B004U7JJWE,"['board', 'cardgame', 'rpg']"
B0D7J4ZYGP,"['cardgame', 'kid-friendly', 'strategic']"
B013TJ5P80,"['board', 'cardgame', 'horror']"
B013TJ5P80,"['board', 'cardgame', 'horror']"
B0DG412Q4G,"['cardgame', 'expansion', 'miniatures']"
B07L7HYWRW,"['board', 'cardgame', 'horror']"
B07L7HYWRW,"['board', 'cardgame', 'horror']"
B00BSD50TE,"['board', 'cardgame', 'rpg']"
B07BSP1KLV,"['cardgame', 'kid-friendly', 'strategic']"
B0C3DP8RPZ,"['cardgame', 'humor', 'party']"
B07T4VLDW3,"['cardgame', 'kid-friendly', 'strategic']"
B0CYCQDSZW,"['board', 'cardgame', 'strategic']"
B0CRHY1B5T,"['board', 'cardgame', 'kid-friendly']"
B0BL21B88R,"['cardgame', 'kid-friendly', 'strategic']"
B01CPQD4YK,"['cardgame', 'party', 'strategic']"
B0D33TXFWZ,"['board', 'kid-friendly', 'strategic']"
B00000DMFM,"['board', 'kid-friendly', 'puzzle']"
B0CVTK74GC,"['board', 'cardgame', 'strategic']"
B0CTJ3KZ7Z,"['cardgame', 'party', 'strategic']"
B08KPRLNFY,"['cardgame', 'resource-management', 'strategic']"
1574572156,"['board', 'cardgame', 'strategic']"
B0CLMM7QSS,"['cardgame', 'party', 'strategic']"
B0CFMY3SW2,"['cardgame', 'kid-friendly', 'strategic']"
B07C4F3KLF,"['cardgame', 'kid-friendly', 'strategic']"
B00A2HD40E,"['board', 'kid-friendly', 'strategic']"
B00A2HD40E,"['board', 'kid-friendly', 'strategic']"
B00134MJWE,"['board', 'kid-friendly', 'strategic']"
B0CBSHXBQG,"['cardgame', 'party', 'strategic']"
B00005JG3Y,"['board', 'kid-friendly', 'strategic']"
B00RCCAPPE,"['board', 'cardgame', 'strategic']"
B06XG88N1R,"['cardgame', 'party', 'strategic']"
B07CXZ9FLQ,"['cardgame', 'kid-friendly', 'strategic']"
B0788XV9JM,"['board', 'cardgame', 'strategic']"
3969280494,"['board', 'cardgame', 'rpg']"
B0D4SR7JLM,"['board', 'cardgame', 'rpg']"
B07146ZQPP,"['cardgame', 'kid-friendly', 'party']"
B0CC4PCQ25,"['cardgame', 'kid-friendly', 'party']"
B0CLZV9D8R,"['board', 'cardgame', 'strategic']"
B0BTZT7GFM,"['board', 'cardgame', 'strategic']"
B00000IV35,"['cardgame', 'combinatorial', 'kid-friendly']"
B08VFGZRR6,"['cardgame', 'combinatorial', 'kid-friendly']"
